"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Miguel Castro","LAA","RP","14.2","12","1","0","4.69","1.38","7","13","7","2","14","0","0","0","40"
"Scott Effross","DET","RP","16.6","11","1","0","4.47","1.40","8","18","5","2","16","0","1","0","40"
"Joe Ross","ARI","RP","14.9","12","1","0","4.58","1.41","8","15","6","2","13","0","1","0","40"
"Ben Bowden","ATH","RP","12.1","13","1","0","4.48","1.49","6","11","8","1","14","0","1","0","40"
"Matt Waldron","SD","SP","15.4","12","1","0","4.95","1.38","8","16","5","3","4","3","1","0","40"
"Cal Quantrill","TEX","SP","15.4","12","1","0","5.05","1.40","9","16","5","2","5","3","1","0","40"
"Thomas Hatch","ARI","SP,RP","15.8","12","1","0","4.93","1.45","9","17","6","2","7","0","1","0","40"
"Tayler Scott","ATL","RP","12.9","13","1","0","5.09","1.53","7","12","7","2","12","0","0","0","40"
"Omar Cruz","SD","RP","12.7","13","1","0","5.30","1.69","8","12","10","2","6","1","1","0","40"
"Michael Arias","NYY","RP","12.5","13","1","0","5.77","2.04","8","12","14","2","11","0","1","0","40"
"Brendan Beck","NYY","SP","13.9","12","1","0","4.41","1.26","7","14","4","2","14","0","1","0","39"
"Bowden Francis","TOR","SP","13.8","12","1","0","4.55","1.27","7","13","5","3","3","3","1","0","39"
"Yunior Marte","CIN","RP","13.5","12","1","0","4.96","1.46","7","14","6","2","13","0","1","0","39"
"Beau Burrows","PIT","RP","14.3","12","1","0","5.04","1.58","8","14","9","3","14","0","1","0","39"
"Carson Ragsdale","","SP,RP","13.9","12","1","0","5.18","1.58","8","14","9","3","5","1","1","0","39"
"Ken Waldichuk","WSH","SP","12.1","12","1","0","4.60","1.44","6","11","6","2","10","0","1","0","38"
"Ben Kudrna","KC","SP","14.6","11","1","0","4.99","1.50","8","15","6","2","8","2","1","0","38"
"Tyler Zuber","MIA","RP","12.1","12","1","0","5.21","1.57","7","12","7","2","10","0","1","0","38"
"Dillon Tate","","RP","12.5","11","1","0","3.95","1.36","6","12","6","1","13","0","1","0","37"
"Michael Fulmer","SF","RP","11.2","12","1","0","4.43","1.34","6","10","6","2","11","0","1","0","37"
"Jake Bloss","TOR","SP","13.0","11","1","0","4.67","1.40","7","13","5","2","11","0","1","0","37"
"Dax Fulton","MIA","SP","13.0","11","1","0","4.51","1.47","7","13","6","2","13","0","1","0","37"
"Dom Hamel","NYY","SP,RP","14.2","13","0","0","4.61","1.39","7","14","6","2","14","0","1","0","37"
"Eduardo Salazar","MIN","RP","13.6","11","1","0","5.28","1.69","8","15","8","2","14","0","1","0","37"
"Tate Kuehner","MIL","","12.4","11","1","0","4.36","1.42","6","12","6","2","12","0","1","0","36"
"Jarlin Susana","WSH","SP","9.0","12","1","0","4.48","1.55","5","7","7","1","2","2","1","0","36"
"Josh Fleming","TOR","SP,RP","17.5","9","1","0","4.62","1.45","9","19","6","2","12","0","1","0","36"
"Connor Seabold","TOR","RP","13.0","11","1","0","5.20","1.46","8","14","6","3","7","1","1","0","36"
"Michael Darrell-Hicks","PIT","RP","12.0","11","1","0","5.24","1.58","7","13","6","2","8","1","1","0","36"
"Enoli Paredes","BAL","RP","9.6","11","1","0","3.75","1.35","4","8","6","1","8","0","1","0","35"
